date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:41	141/141	U-----	200	untouched ('OK')	text/plain	date:Mon,%2023%20Oct%202023%2013:50:54%20GMT	https://sertecspa.webnode.cl/robots.txt		(from )
10:51:41	83891/83891	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2023%20Oct%202023%2013:51:41%20GMT	https://sertecspa.webnode.cl/	C:/My%20Web%20Sites/SertecSPA/sertecspa.webnode.cl/index.html	(from )
10:51:56	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Oct%202023%2013:51:56%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/SertecSPA/fonts.gstatic.com/index.html	(from https://sertecspa.webnode.cl/)
10:51:57	22638/22638	---M--	200	added ('OK')	image/x-icon	etag:%22583de0f61394833894ec25eead91b70c%22	https://d1di2lzuh97fh2.cloudfront.net/files/1j/1j3/1j3767.ico?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/1j/1j3/1j3767.105c0.delayed	(from https://sertecspa.webnode.cl/)
10:51:57	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Oct%202023%2013:51:58%20GMT	https://fonts.gstatic.com/robots.txt		(from https://sertecspa.webnode.cl/)
10:52:48	328085/328085	U-----	200	untouched ('OK')	text/css	etag:W/%2200b4b3761853e612cfe1359c91f8398e%22	https://d1di2lzuh97fh2.cloudfront.net/files/00/00f/00fv3r.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/00/00f/00fv3r05c0.css	(from https://sertecspa.webnode.cl/)
10:52:48	8553/8553	U-----	200	untouched ('OK')	text/css	etag:W/%225990e151f4ee2e9e8a54dc9b47abeccc%22	https://d1di2lzuh97fh2.cloudfront.net/files/1j/1jw/1jwyl1.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/1j/1jw/1jwyl105c0.css	(from https://sertecspa.webnode.cl/)
10:52:48	443448/443448	U-----	200	untouched ('OK')	text/css	etag:W/%223cbd693297dc2799435692004dc7e842%22	https://d1di2lzuh97fh2.cloudfront.net/files/11/11x/11x3tf.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/11/11x/11x3tf05c0.css	(from https://sertecspa.webnode.cl/)
10:52:49	316/316	---M--	200	added ('OK')	image/svg+xml	etag:%220bec9a092ea54c5feceaf57b0e7d89a3%22	https://d1di2lzuh97fh2.cloudfront.net/files/07/07f/07fzq8.svg?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/07/07f/07fzq8.005c0.delayed	(from https://sertecspa.webnode.cl/)
10:52:49	254100/254100	U-----	200	untouched ('OK')	text/css	etag:W/%226cd4d51c0b2fad9721cba1f7d7308f44%22	https://d1di2lzuh97fh2.cloudfront.net/files/1v/1vx/1vxxzl.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/1v/1vx/1vxxzl05c0.css	(from https://sertecspa.webnode.cl/)
10:53:33	236/236	U-----	200	untouched ('OK')	text/css	etag:%222de3f2fd0f951fa9a9468868bf3d6cde%22	https://d1di2lzuh97fh2.cloudfront.net/files/0s/0sn/0sndbj.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/0s/0sn/0sndbj05c0.css	(from https://sertecspa.webnode.cl/)
10:53:36	248367/248367	U-----	200	untouched ('OK')	text/css	etag:W/%222df5106338461a96b3a566ef0085c0ce%22	https://d1di2lzuh97fh2.cloudfront.net/files/0s/0so/0soveu.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/0s/0so/0soveu05c0.css	(from https://sertecspa.webnode.cl/)
