date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:55	83891/83891	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2013:50:54%20GMT	https://sertecspa.webnode.cl/	C:/My%20Web%20Sites/SertecSPA/sertecspa.webnode.cl/index.html	(from )
10:50:55	141/141	---M--	200	added ('OK')	text/plain	date:Mon,%2023%20Oct%202023%2013:50:54%20GMT	https://sertecspa.webnode.cl/robots.txt		(from )
10:51:15	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Oct%202023%2013:51:13%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/SertecSPA/fonts.gstatic.com/index.html	(from https://sertecspa.webnode.cl/)
10:51:15	244922/244922	---MC-	200	added ('OK')	application/xml	date:Mon,%2023%20Oct%202023%2013:51:11%20GMT	https://d1di2lzuh97fh2.cloudfront.net/	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/index.html	(from https://sertecspa.webnode.cl/)
10:51:16	8553/8553	---MCZ	200	added ('OK')	text/css	etag:W/%225990e151f4ee2e9e8a54dc9b47abeccc%22	https://d1di2lzuh97fh2.cloudfront.net/files/1j/1jw/1jwyl1.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/1j/1jw/1jwyl105c0.css	(from https://sertecspa.webnode.cl/)
10:51:17	443448/443448	---MCZ	200	added ('OK')	text/css	etag:W/%223cbd693297dc2799435692004dc7e842%22	https://d1di2lzuh97fh2.cloudfront.net/files/11/11x/11x3tf.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/11/11x/11x3tf05c0.css	(from https://sertecspa.webnode.cl/)
10:51:18	328085/328085	---MCZ	200	added ('OK')	text/css	etag:W/%2200b4b3761853e612cfe1359c91f8398e%22	https://d1di2lzuh97fh2.cloudfront.net/files/00/00f/00fv3r.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/00/00f/00fv3r05c0.css	(from https://sertecspa.webnode.cl/)
10:51:19	254100/254100	---MCZ	200	added ('OK')	text/css	etag:W/%226cd4d51c0b2fad9721cba1f7d7308f44%22	https://d1di2lzuh97fh2.cloudfront.net/files/1v/1vx/1vxxzl.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/1v/1vx/1vxxzl05c0.css	(from https://sertecspa.webnode.cl/)
10:51:20	346631/346631	---MCZ	200	added ('OK')	text/css	etag:W/%22a60ba08b2fb7ddd147b438b9106fae52%22	https://d1di2lzuh97fh2.cloudfront.net/files/2v/2vn/2vnt3c.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/2v/2vn/2vnt3c05c0.css	(from https://sertecspa.webnode.cl/)
10:51:21	248367/248367	---MCZ	200	added ('OK')	text/css	etag:W/%222df5106338461a96b3a566ef0085c0ce%22	https://d1di2lzuh97fh2.cloudfront.net/files/0s/0so/0soveu.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/0s/0so/0soveu05c0.css	(from https://sertecspa.webnode.cl/)
10:51:21	236/236	---M--	200	added ('OK')	text/css	etag:%222de3f2fd0f951fa9a9468868bf3d6cde%22	https://d1di2lzuh97fh2.cloudfront.net/files/0s/0sn/0sndbj.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/0s/0sn/0sndbj05c0.css	(from https://sertecspa.webnode.cl/)
10:51:22	64013/64013	---MCZ	200	added ('OK')	text/css	etag:W/%22b22464fcff8f4b60ba2ebb6cd0eabb57%22	https://d1di2lzuh97fh2.cloudfront.net/files/33/337/337oen.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/33/337/337oen05c0.css	(from https://sertecspa.webnode.cl/)
10:51:23	13293/13293	---MCZ	200	added ('OK')	text/css	etag:W/%228c38887ea3c3ce27706a032b2153059f%22	https://d1di2lzuh97fh2.cloudfront.net/files/2f/2fj/2fjerr.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/2f/2fj/2fjerr05c0.css	(from https://sertecspa.webnode.cl/)
10:51:23	30106/30106	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f7e017d8e028439540be1f8e7d0311d3-1%22	https://d1di2lzuh97fh2.cloudfront.net/client/js.polyfill/container-query-polyfill.modern.js	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/client/js.polyfill/container-query-polyfill.modern.js	(from https://sertecspa.webnode.cl/)
10:51:24	94333/94333	---MCZ	200	added ('OK')	text/css	etag:W/%221615d5e0c3b94ef87c42cd22f9286181%22	https://d1di2lzuh97fh2.cloudfront.net/files/0d/0ds/0dscwu.css?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/0d/0ds/0dscwu05c0.css	(from https://sertecspa.webnode.cl/)
10:51:25	281/281	---MC-	404	error ('Not%20Found')	application/xml	date:Mon,%2023%20Oct%202023%2013:51:25%20GMT	https://d1di2lzuh97fh2.cloudfront.net/robots.txt		(from https://sertecspa.webnode.cl/)
10:51:25	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Oct%202023%2013:51:26%20GMT	https://fonts.gstatic.com/robots.txt		(from https://sertecspa.webnode.cl/)
10:51:25	413/413	---M--	200	added ('OK')	image/svg+xml	etag:%2288fe2edfb9e2634e0187b719b85383cc%22	https://d1di2lzuh97fh2.cloudfront.net/files/2d/2di/2div3h.svg?ph=da3654c9e2	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/2d/2di/2div3h.005c0.delayed	(from https://sertecspa.webnode.cl/)
10:51:26	31746/31746	---M--	200	added ('OK')	image/png	etag:%22d634601234cf6398df3a16238b257112%22	https://d1di2lzuh97fh2.cloudfront.net/files/3p/3pq/3pq60x.png	C:/My%20Web%20Sites/SertecSPA/d1di2lzuh97fh2.cloudfront.net/files/3p/3pq/3pq60x.png	(from https://d1di2lzuh97fh2.cloudfront.net/files/00/00f/00fv3r.css?ph=da3654c9e2)
